,Mean
0,-1.3417307601087014
1,-1.1007229440177075
2,-0.944855580342706
3,-0.052341599967287655
4,-0.8908886006617086
5,-0.5090973593158645
6,-0.8828438335042879
7,-1.2219970762412038
8,-1.557263480201221
9,-0.7584851411958513
10,0.3771678225264239
11,-1.042152936133915
12,-0.2737879199613651
13,-0.9180396898179825
14,-0.5054101743687327
15,-0.7092072789836413
16,-1.628995987354868
17,-0.5379244416299508
18,-0.8707766827681568
19,0.3501348771501025
20,0.6299075907219943
21,-0.9177044911864213
22,0.14521036948751032
23,-0.7743924227028157
24,-0.4464152152143153
25,0.06174591022930642
26,-0.1464124399689148
27,0.7205202065903691
28,-0.537254044366835
29,0.5213032340968381
30,-0.707199750567313
31,-0.5186660896506526
32,-0.6844062436212847
33,0.5223088299915086
34,0.01951088265285074
35,0.052623195560017294
36,0.4703530420998545
37,-0.1400436659692913
38,-0.5349076539459219
39,-1.1474520144495073
40,-0.9904425942347606
41,-0.2302120978586842
42,0.9758325784909954
43,0.010837847022073384
44,0.9104688453369697
45,0.48342578873065617
46,1.4491330462524727
47,0.3374321311945698
48,0.9875645305955675
49,0.7348247624000057
50,0.3671118635796447
51,0.7566227477271474
52,0.49985052167705235
53,0.10967931454224149
54,0.5142640628340988
55,-0.9779706407796419
56,0.1562719243289796
57,0.32521203463477627
58,1.0891297159579865
59,0.44172836114527175
60,1.4917032724604529
61,-1.4711174318905211
62,-2.2008448527947118
63,-0.7419669922373722
64,-1.7701146112412642
65,-0.38306267384963066
66,-0.7470883877228447
67,-1.1782060309734226
68,-1.372233835580598
69,-1.2629590816923109
70,-1.1308908208580277
71,-1.2942021585147279
72,-1.3504459245292468
73,-0.6099921474151568
74,-0.6897694217262377
75,-0.6359993483451748
76,-0.5566955649972666
77,-1.4841901785213272
78,-0.6968085929889727
79,-1.6328306230661649
80,-0.9173692925548774
81,0.10029375285859989
82,-0.0790375150255263
83,-1.0080560917269565
84,-1.4392735618924124
85,-0.5801594692063956
86,-0.5875338391007027
87,0.1813220690568596
88,0.6801873854558642
89,0.863205838287144
90,0.17571344495940258
91,0.6790691408407452
92,0.08923219801716102
93,1.980758075905228
94,0.747562310399244
95,-0.31308217484401324
96,0.8410827286042402
97,0.7331487692421911
98,1.1011968666941003
99,1.8600902319169663
100,0.8957201055483817
101,1.4112556008862887
102,1.7772925065488374
103,1.0641629129663708
104,0.5762758096725386
105,1.157845435427611
106,1.143431894270556
107,0.6660321120969098
108,1.1940468876359893
109,-0.21043537859669353
110,1.4524850325680674
111,0.8445391210509688
112,-0.03981927513311046
113,1.7819852873906765
114,1.6599729855031684
115,0.999980617612089
116,1.2848857167885133
117,2.482550427349224
118,1.8872376577002339
119,2.3040177747840045
120,0.7557261200613369
