,resid
0,-0.06257006648049772
1,0.12121408724630917
2,0.1945732611166377
3,0.8367996768970104
4,-0.04449861083364409
5,0.22905405507848137
6,-0.004789031314316572
7,-0.30566218776051296
8,-0.4713259505507531
9,0.28294743564593705
10,1.1206703358610153
11,-0.3936228855741674
12,0.24943765135144558
13,-0.16469721662724113
14,0.12395923603078465
15,-0.011629065927645149
16,-0.8213593089525361
17,0.24566158427461215
18,-0.05950702034673842
19,0.7784115514032804
20,0.8449796964441054
21,-0.7069099804653958
22,0.35470132626903583
23,-0.3107373793059882
24,-0.0985978259819321
25,0.4122436888728346
26,0.07958097884689319
27,0.7135201865413319
28,-0.43969386931689175
29,0.46235307137318904
30,-0.5077160099425914
31,-0.3566785200995859
32,-0.31677239391726203
33,0.6460578972570714
34,0.04489663663874202
35,-0.08047670857489908
36,0.33010615195879545
37,-0.2622736926044834
38,-0.575343639100856
39,-0.9150648246613641
40,-0.6284266946908792
41,0.06123539160032404
42,0.8731646281807071
43,-0.27462105967874545
44,0.3862915669697451
45,0.04465962803600117
46,0.7248002364989634
47,-0.28573331792551293
48,0.23984051459567507
49,0.10950598389366813
50,-0.2840749676359074
51,0.12538808504865268
52,-0.10006223052052694
53,-0.46376341820056666
54,-0.03745787278464553
55,-1.2711493040760684
56,-0.1833492509781952
57,0.01879644614302023
58,0.39072128799326866
59,-0.3150511598113961
60,0.4958782404774664
61,-0.4798141925061097
62,-1.0992600161774542
63,0.4000373974416705
64,-0.5701144706450947
65,0.4537004653928154
66,0.09292681154581595
67,-0.46818354998560796
68,-0.5046766700934354
69,-0.3209948115214322
70,-0.21307752919254697
71,-0.40577386572802565
72,-0.4653215637507162
73,0.16215515271193987
74,-0.03462772035194461
75,-0.12935219581475
76,-0.07605186573727722
77,-0.8743254635736744
78,-0.10588261141667815
79,-0.8514445541596067
80,-0.26955202360205416
81,0.5953996203111274
82,0.12969884289212874
83,-0.8021016099972609
84,-0.9822228716081308
85,-0.054824568488544556
86,-0.144011610917608
87,0.3118767852361152
88,0.5743384969673124
89,0.48252096278222445
90,-0.21829045293706761
91,0.2586195756599676
92,-0.1999010211776695
93,1.3367057585906266
94,0.10049466021774928
95,-0.920678419744422
96,0.40949409210770804
97,0.30322669373010713
98,0.39463162941788366
99,0.9555454800746053
100,-0.044784096044315824
101,0.3836776294154331
102,0.7549039001192677
103,-0.0007580599579776193
104,-0.363108089711101
105,0.3076009057817244
106,0.2697910813913438
107,-0.24110939870763493
108,0.2565627733095217
109,-0.9102964952289844
110,0.5722989213298455
111,0.0343215853429015
112,-0.9064592043829979
113,0.8255947362117668
114,0.5630987328427568
115,-0.3052111725962011
116,0.044173006335172516
117,1.078465888195275
118,0.32098383720295304
119,0.5264471961847761
120,-0.7176854355317972
