param_p,param_q,AIC
0.0,0.0,5618.145618769398
0.0,1.0,5529.838333506175
0.0,2.0,5515.926055709691
0.0,3.0,5514.019210651601
0.0,4.0,5515.706789630774
1.0,0.0,5514.658086057014
1.0,1.0,5509.925444969283
1.0,2.0,5451.8962115521845
1.0,3.0,5514.233607013766
1.0,4.0,5516.199015187134
2.0,0.0,5511.43896921524
2.0,1.0,5450.947278008754
2.0,2.0,5452.8505906166965
2.0,3.0,5455.360059140197
2.0,4.0,5454.670581007913
3.0,0.0,5512.595864739369
3.0,1.0,5452.8014490404485
3.0,2.0,5453.929176789163
3.0,3.0,5448.370282520216
3.0,4.0,5439.912187227358
4.0,0.0,5514.064233616066
4.0,1.0,5451.74584492284
4.0,2.0,5456.797890447204
4.0,3.0,5442.572771437748
4.0,4.0,5426.946436024335
5.0,0.0,5498.243118521863
5.0,1.0,5448.955102884712
5.0,2.0,5449.241714103309
5.0,3.0,5441.193441007199
5.0,4.0,5410.355992714444
6.0,0.0,5493.694351413882
6.0,1.0,5448.874487412956
6.0,2.0,5450.786522085071
6.0,3.0,5441.801041377525
6.0,4.0,5413.917296165833
7.0,0.0,5488.021139187167
7.0,1.0,5450.83960022334
7.0,2.0,5452.637640856243
7.0,3.0,5441.504580745364
7.0,4.0,5443.4732670287485
8.0,0.0,5487.365996005645
8.0,1.0,5452.403406275565
8.0,2.0,5454.507256624975
8.0,3.0,5443.421543612297
8.0,4.0,5458.142024468296
9.0,0.0,5488.92436427756
9.0,1.0,5454.3017066661905
9.0,2.0,5456.391962191229
9.0,3.0,5444.7873807968235
9.0,4.0,5447.269471483445
10.0,0.0,5486.975015452018
10.0,1.0,5454.572660114209
10.0,2.0,5458.203613281412
10.0,3.0,5445.434731416963
10.0,4.0,5446.098789716489
11.0,0.0,5475.199465643607
11.0,1.0,5456.572660085261
11.0,2.0,5457.593077453566
11.0,3.0,5445.292413586631
11.0,4.0,5447.224234215597
